,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,Width,Time,species
2523,11532.0,2048.0,13752.0,2095.0,1471.0,456.0,32264.99609375,3391.9990234375,15292.9990234375,2178.0,39.0,548.0,1
2524,4547.0,568.0,16160.0,2230.0,1270.0,240.0,13389.005859375,2391.999267578125,16818.994140625,2154.0,48.0,598.0,6
2525,6236.0,194.0,4008.0,476.0,247.0,175.0,17350.0078125,878.0000610351562,4505.0009765625,487.0,30.0,256.0,6
2526,16091.0,1583.0,70388.0,9471.0,4149.0,625.0,45947.984375,4169.00048828125,68687.0,8987.0,67.0,241.0,1
2527,6707.0,1529.0,68675.0,9599.0,1740.0,447.0,23556.998046875,3722.001220703125,70150.03125,9302.0,65.0,193.0,1
2528,14970.0,3456.0,3804.0,641.0,408.0,6.0,48667.98046875,7016.99951171875,3935.00146484375,433.0,31.0,543.0,6
2529,17398.0,7753.0,61127.0,8763.0,2660.0,494.0,42059.01953125,13317.0048828125,59697.98828125,7901.0,64.0,160.0,1
2530,9440.0,4238.0,16108.0,2361.0,1953.0,0.0,27046.998046875,6251.998046875,14910.99609375,2247.0,48.0,453.0,1
2531,12039.0,5216.0,32420.0,4245.0,1474.0,254.0,37296.99609375,7662.00048828125,30315.998046875,3812.0,63.0,543.0,1
2532,5491.0,2156.0,138140.0,18425.0,5820.0,65.0,21883.9921875,4409.99853515625,129033.03125,16997.0,67.0,224.0,1
2533,13478.0,2014.0,108878.0,15592.0,4064.0,398.0,36515.0,3728.00146484375,109220.0078125,15809.0,68.0,231.0,1
2534,4142.0,346.0,31384.0,4653.0,874.0,389.0,16856.0078125,1560.0001220703125,32534.990234375,4564.0,50.0,384.0,6
2535,5000.0,1949.0,37437.0,5134.0,1658.0,404.0,18704.005859375,4427.998046875,36961.00390625,5168.0,66.0,328.0,1
2536,7205.0,2819.0,60525.0,8106.0,3638.0,127.0,13072.00390625,5608.00244140625,62494.9765625,8166.0,64.0,367.0,1
2537,4275.0,1626.0,17487.0,2520.0,343.0,357.0,22169.994140625,3894.000732421875,17628.00390625,2375.0,43.0,468.0,1
2538,23259.0,2476.0,107376.0,14270.0,3001.0,0.0,63701.99609375,4219.0,110917.96875,14188.0,66.0,242.0,1
2539,1133.0,894.0,338121.0,47967.0,14744.0,133.0,10800.0009765625,1567.999267578125,310489.09375,44031.0,88.0,285.0,1
2540,22248.0,14085.0,155516.0,20850.0,6527.0,838.0,81319.984375,21416.00390625,149370.0625,20246.0,71.0,155.0,1
2541,6218.0,1105.0,6958.0,1086.0,500.0,246.0,31663.99609375,2153.99951171875,7420.00048828125,1032.0,41.0,611.0,6
2542,6399.0,605.0,80622.0,10819.0,3403.0,158.0,27462.00390625,3331.998779296875,79329.9921875,10576.0,65.0,190.0,1
2543,5648.0,1593.0,8396.0,1463.0,742.0,231.0,23139.99609375,4087.000244140625,8909.0029296875,1511.0,36.0,617.0,6
2544,0.0,2457.0,39098.0,5427.0,2286.0,388.0,11582.998046875,3819.000732421875,40257.00390625,5416.0,63.0,397.0,1
2545,5553.0,1301.0,27095.0,3891.0,1735.0,0.0,16378.9931640625,4407.0009765625,28180.998046875,3944.0,55.0,289.0,1
2546,4467.0,7024.0,24311.0,3297.0,1543.0,115.0,18875.005859375,11127.9951171875,25133.99609375,3343.0,50.0,159.0,1
2547,21690.0,5167.0,65932.0,8592.0,2631.0,19.0,51873.98046875,8121.99609375,64089.9765625,8502.0,67.0,295.0,1
2548,19253.0,6780.0,129519.0,17458.0,6350.0,165.0,42015.0,10952.9951171875,122828.046875,16740.0,68.0,324.0,1
2549,20148.0,11129.0,65335.0,8273.0,3335.0,0.0,55322.984375,15610.994140625,67118.9765625,8416.0,67.0,237.0,1
2550,7879.0,5663.0,4758.0,895.0,604.0,0.0,24349.99609375,12192.0029296875,5407.00146484375,889.0,31.0,572.0,1
2551,14607.0,1271.0,55626.0,7959.0,1288.0,782.0,43386.00390625,4381.998046875,55069.00390625,7744.0,65.0,441.0,1
2552,14827.0,7260.0,4496.0,722.0,621.0,348.0,43364.0,11908.99609375,3914.001220703125,449.0,48.0,552.0,1
2553,2460.0,2935.0,354585.0,53230.0,13627.0,0.0,29994.998046875,4196.0,223279.109375,34653.0,180.0,194.0,1
2554,6172.0,3919.0,82048.0,11873.0,3800.0,546.0,19211.998046875,5333.99755859375,75173.984375,10662.0,66.0,219.0,1
2555,5225.0,4796.0,54441.0,7642.0,2933.0,362.0,29051.001953125,9981.998046875,53102.01171875,7123.0,62.0,273.0,1
2556,36185.0,5841.0,340379.0,46170.0,11264.0,140.0,73377.0,8892.0009765625,279684.0,37614.0,86.0,442.0,1
2557,7163.0,1146.0,18647.0,2343.0,170.0,254.0,23456.0078125,3253.000732421875,18486.998046875,2387.0,53.0,326.0,6
2558,18194.0,6207.0,60652.0,7867.0,3389.0,41.0,41040.98046875,10733.9970703125,61642.015625,8186.0,63.0,406.0,1
2559,18605.0,6298.0,179020.0,24309.0,7085.0,0.0,32266.99609375,10822.0029296875,143570.953125,18756.0,80.0,482.0,1
2560,2486.0,5467.0,214107.0,29532.0,9019.0,182.0,30714.01171875,8195.0009765625,187399.03125,25356.0,77.0,324.0,1
